number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
101 S101_LN:i:2087_dp:f:2.3207282888777025 0.95 0.05 Repeat 2087 2.32 2
111 S111_LN:i:1298_dp:f:1.0510671105010683 0.36 0.64 Plasmid 1298 1.05 2
23 S23_LN:i:75230_dp:f:0.48607911911770446 0.3 0.7 Plasmid 75230 0.49 1
38 S38_LN:i:52587_dp:f:1.2703988722178692 0.18 0.82 Plasmid 52587 1.27 2
62 S62_LN:i:13998_dp:f:0.4716368168219556 0.3 0.7 Plasmid 13998 0.47 1
65 S65_LN:i:10888_dp:f:1.3178470566512357 0.14 0.86 Plasmid 10888 1.32 2
66 S66_LN:i:10729_dp:f:0.5178202325402967 0.35 0.65 Plasmid 10729 0.52 2
82 S82_LN:i:5569_dp:f:3.540839481559121 0.06 0.94 Plasmid 5569 3.54 3
87 S87_LN:i:4943_dp:f:1.5715208561349898 0.08 0.92 Plasmid 4943 1.57 2
91 S91_LN:i:3634_dp:f:0.542597721608846 0.02 0.98 Plasmid 3634 0.54 2
99 S99_LN:i:2360_dp:f:0.5237154743312388 0.42 0.58 Plasmid 2360 0.52 1
