number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
56 S56_LN:i:2669_dp:f:1.8814920764225023 0.05 0.95 Repeat 2669 1.88 2
56 S56_LN:i:2669_dp:f:1.8814920764225023 0.05 0.95 Repeat 2669 1.88 1
57 S57_LN:i:2532_dp:f:4.432680376239687 0.51 0.49 Repeat 2532 4.43 2
57 S57_LN:i:2532_dp:f:4.432680376239687 0.51 0.49 Repeat 2532 4.43 1
24 S24_LN:i:52052_dp:f:0.6298985458910832 0.14 0.86 Plasmid 52052 0.63 1
31 S31_LN:i:31325_dp:f:1.1733010123477514 0.37 0.63 Plasmid 31325 1.17 2
34 S34_LN:i:29949_dp:f:1.1601235318712473 0.23 0.77 Plasmid 29949 1.16 2
42 S42_LN:i:15589_dp:f:0.5978967324125077 0.08 0.92 Plasmid 15589 0.6 1
44 S44_LN:i:9441_dp:f:1.1030301882145663 0.07 0.93 Plasmid 9441 1.1 2
46 S46_LN:i:7277_dp:f:1.116123272489604 0.14 0.86 Plasmid 7277 1.12 2
49 S49_LN:i:3915_dp:f:0.5894137594604579 0.15 0.85 Plasmid 3915 0.59 1
52 S52_LN:i:2863_dp:f:1.1774161464796202 0.02 0.98 Plasmid 2863 1.18 2
53 S53_LN:i:2859_dp:f:0.9569365640185278 0.19 0.81 Plasmid 2859 0.96 3
60 S60_LN:i:2247_dp:f:1.1320485739454964 0.29 0.71 Plasmid 2247 1.13 2
61 S61_LN:i:1552_dp:f:8.473491773308957 0 1 Plasmid 1552 8.47 4
67 S67_LN:i:1150_dp:f:1.094140436294058 0.2 0.8 Plasmid 1150 1.09 2
