number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
72 S72_LN:i:3870_dp:f:1.8030413478787264 0.64 0.36 Repeat 3870 1.8 1
75 S75_LN:i:3482_dp:f:1.902972255148676 0.97 0.03 Repeat 3482 1.9 1
82 S82_LN:i:2638_dp:f:19.814907548856166 0.9 0.1 Repeat 2638 19.81 1
93 S93_LN:i:1791_dp:f:5.990318566082864 0.95 0.05 Repeat 1791 5.99 1
102 S102_LN:i:1332_dp:f:0.9240909657557836 0.22 0.78 Plasmid 1332 0.92 1
108 S108_LN:i:1167_dp:f:0.9967059459893466 0.19 0.81 Plasmid 1167 1 1
28 S28_LN:i:50263_dp:f:0.9133171483084959 0.14 0.86 Plasmid 50263 0.91 1
47 S47_LN:i:15522_dp:f:0.8953614902055245 0.3 0.7 Plasmid 15522 0.9 1
60 S60_LN:i:6654_dp:f:9.582675684641341 0.08 0.92 Plasmid 6654 9.58 1
63 S63_LN:i:5316_dp:f:0.9853405088352064 0.42 0.58 Plasmid 5316 0.99 1
76 S76_LN:i:3371_dp:f:17.454006850111035 0.3 0.7 Plasmid 3371 17.45 2
80 S80_LN:i:2734_dp:f:0.8984886229417445 0.03 0.97 Plasmid 2734 0.9 1
89 S89_LN:i:1969_dp:f:0.871817138800322 0.01 0.99 Plasmid 1969 0.87 1
90 S90_LN:i:1878_dp:f:0.9084743184224039 0.39 0.61 Plasmid 1878 0.91 1
98 S98_LN:i:1552_dp:f:52.890590499855264 0 1 Plasmid 1552 52.89 3
