number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
102 S102_LN:i:1058_dp:f:8.516601001465146 0.81 0.19 Repeat 1058 8.52 1
76 S76_LN:i:2581_dp:f:5.916327009304176 0.88 0.12 Repeat 2581 5.92 1
31 S31_LN:i:35969_dp:f:1.3964613448540741 0.19 0.81 Plasmid 35969 1.4 1
40 S40_LN:i:23249_dp:f:1.4563367133160776 0.34 0.66 Plasmid 23249 1.46 1
55 S55_LN:i:12271_dp:f:1.3865839024506323 0.34 0.66 Plasmid 12271 1.39 1
56 S56_LN:i:12188_dp:f:1.4402718618662518 0.18 0.82 Plasmid 12188 1.44 1
57 S57_LN:i:11993_dp:f:1.0703586487132681 0.02 0.98 Plasmid 11993 1.07 1
60 S60_LN:i:8097_dp:f:1.4773590080088246 0.38 0.62 Plasmid 8097 1.48 1
62 S62_LN:i:6887_dp:f:1.1127912073036672 0.11 0.89 Plasmid 6887 1.11 1
63 S63_LN:i:6113_dp:f:1.4637277664653088 0.29 0.71 Plasmid 6113 1.46 1
73 S73_LN:i:3703_dp:f:1.115954887609957 0.3 0.7 Plasmid 3703 1.12 1
75 S75_LN:i:2735_dp:f:1.347071467988356 0.03 0.97 Plasmid 2735 1.35 1
90 S90_LN:i:1556_dp:f:1.3805896157197621 0 1 Plasmid 1556 1.38 1
93 S93_LN:i:1352_dp:f:0.9317070572811321 0.08 0.92 Plasmid 1352 0.93 1
