number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
54 S54_LN:i:2360_dp:f:9.44903897368261 0.99 0.01 Repeat 2360 9.45 1
60 S60_LN:i:1331_dp:f:6.210835833370463 0.99 0.01 Repeat 1331 6.21 1
25 S25_LN:i:39749_dp:f:1.1633124300211144 0.3 0.7 Plasmid 39749 1.16 1
31 S31_LN:i:26872_dp:f:1.1893704154697344 0.41 0.59 Plasmid 26872 1.19 1
33 S33_LN:i:17166_dp:f:1.225420177687972 0.26 0.74 Plasmid 17166 1.23 1
36 S36_LN:i:14031_dp:f:1.1279950345683682 0.32 0.68 Plasmid 14031 1.13 1
39 S39_LN:i:12257_dp:f:1.112375400632138 0.28 0.72 Plasmid 12257 1.11 1
41 S41_LN:i:8679_dp:f:1.2000618986705345 0.2 0.8 Plasmid 8679 1.2 1
45 S45_LN:i:4968_dp:f:1.2100497407093322 0.41 0.59 Plasmid 4968 1.21 1
50 S50_LN:i:3167_dp:f:1.1096193352347654 0.46 0.54 Plasmid 3167 1.11 1
56 S56_LN:i:1953_dp:f:1.1266845524921665 0.32 0.68 Plasmid 1953 1.13 1
