number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
64 S64_LN:i:2699_dp:f:4.969123579362302 0.98 0.02 Repeat 2699 4.97 2
65 S65_LN:i:2581_dp:f:5.457919652231576 0.84 0.16 Repeat 2581 5.46 2
17 S17_LN:i:93762_dp:f:0.5945151153217584 0.28 0.72 Plasmid 93762 0.59 1
25 S25_LN:i:65559_dp:f:1.1449437369048532 0.26 0.74 Plasmid 65559 1.14 2
33 S33_LN:i:33760_dp:f:1.1470394555066405 0.18 0.82 Plasmid 33760 1.15 2
34 S34_LN:i:32950_dp:f:1.3963510103335852 0.19 0.81 Plasmid 32950 1.4 3
41 S41_LN:i:19781_dp:f:1.2608286208992616 0.17 0.83 Plasmid 19781 1.26 2
45 S45_LN:i:15522_dp:f:1.1535186686069003 0.3 0.7 Plasmid 15522 1.15 2
49 S49_LN:i:7676_dp:f:1.1278666028108826 0.24 0.76 Plasmid 7676 1.13 2
69 S69_LN:i:1916_dp:f:1.0868361914936728 0.01 0.99 Plasmid 1916 1.09 2
