number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
80 S80_LN:i:1341_dp:f:7.776745843410488 0.89 0.11 Repeat 1341 7.78 1
82 S82_LN:i:1310_dp:f:9.646699368456167 0.74 0.26 Repeat 1310 9.65 1
86 S86_LN:i:1165_dp:f:4.990333512763554 0.9 0.1 Repeat 1165 4.99 1
28 S28_LN:i:65609_dp:f:3.1618945359017845 0.16 0.84 Plasmid 65609 3.16 1
43 S43_LN:i:29516_dp:f:2.3097028787178067 0.29 0.71 Plasmid 29516 2.31 1
54 S54_LN:i:15112_dp:f:3.2075102589246374 0.06 0.94 Plasmid 15112 3.21 1
57 S57_LN:i:10894_dp:f:0.9429828884222019 0.32 0.68 Plasmid 10894 0.94 1
66 S66_LN:i:5569_dp:f:53.56966694281066 0.07 0.93 Plasmid 5569 53.57 2
69 S69_LN:i:4708_dp:f:0.9042107976557823 0.41 0.59 Plasmid 4708 0.9 1
77 S77_LN:i:2089_dp:f:116.46752439366485 0.34 0.66 Plasmid 2089 116.47 3
