"Prob_Chromosome"	"Prob_Plasmid"	"Prediction"	"Contig_name"	"Contig_length"
0.965327649216355	0.0346723507836453	"Chromosome"	"S1_LN:i:399813_dp:f:0.9997956449348329"	399813
0.968977607382608	0.0310223926173923	"Chromosome"	"S2_LN:i:329797_dp:f:1.0006808694570664"	329797
0.967528437592038	0.0324715624079623	"Chromosome"	"S3_LN:i:318827_dp:f:0.9691175439998078"	318827
0.980597658111781	0.0194023418882191	"Chromosome"	"S4_LN:i:307764_dp:f:0.9844102504330388"	307764
0.957304219240509	0.0426957807594908	"Chromosome"	"S5_LN:i:285152_dp:f:1.0059063280216978"	285152
0.968054221155789	0.031945778844211	"Chromosome"	"S6_LN:i:269533_dp:f:1.0175866079194733"	269533
0.973806041275626	0.0261939587243741	"Chromosome"	"S7_LN:i:244462_dp:f:0.9709643744662467"	244462
0.908003286060161	0.0919967139398391	"Chromosome"	"S8_LN:i:241121_dp:f:1.0"	241121
0.968807138560043	0.031192861439957	"Chromosome"	"S9_LN:i:237717_dp:f:1.018904125563189"	237717
0.9872929511555	0.0127070488445	"Chromosome"	"S10_LN:i:197388_dp:f:1.0098248567824233"	197388
0.97254855534546	0.0274514446545399	"Chromosome"	"S11_LN:i:174499_dp:f:0.9800192884791079"	174499
0.976093564213997	0.0239064357860027	"Chromosome"	"S12_LN:i:146658_dp:f:1.0278029039970866"	146658
0.972454903040804	0.0275450969591957	"Chromosome"	"S13_LN:i:135685_dp:f:1.0136995483932734"	135685
0.98038339964686	0.0196166003531397	"Chromosome"	"S14_LN:i:131170_dp:f:0.9952465794711487"	131170
0.984282059151419	0.0157179408485814	"Chromosome"	"S15_LN:i:130563_dp:f:0.9743114046076831"	130563
0.958703335559833	0.0412966644401673	"Chromosome"	"S16_LN:i:129372_dp:f:1.022323119821106"	129372
0.98315642480794	0.0168435751920605	"Chromosome"	"S17_LN:i:129234_dp:f:0.9919294144362331"	129234
0.965363733942956	0.034636266057044	"Chromosome"	"S18_LN:i:111397_dp:f:1.0307106929802468"	111397
0.983749093196369	0.0162509068036311	"Chromosome"	"S19_LN:i:97784_dp:f:0.9776326758369528"	97784
0.853437228551506	0.146562771448494	"Chromosome"	"S20_LN:i:96568_dp:f:0.9601429336220133"	96568
0.955298378800438	0.0447016211995617	"Chromosome"	"S21_LN:i:88881_dp:f:0.9780647011333209"	88881
0.930174804375681	0.0698251956243188	"Chromosome"	"S22_LN:i:76233_dp:f:0.9622181423067312"	76233
0.980876814670701	0.0191231853292994	"Chromosome"	"S23_LN:i:68395_dp:f:0.9956568694275401"	68395
0.943352411803724	0.0566475881962762	"Chromosome"	"S24_LN:i:66110_dp:f:0.9790621601625672"	66110
0.984275122596412	0.0157248774035884	"Chromosome"	"S25_LN:i:65324_dp:f:0.9640619231104051"	65324
0.953865465304016	0.0461345346959836	"Chromosome"	"S26_LN:i:56514_dp:f:0.9745321302171341"	56514
0.16438662037653	0.83561337962347	"Plasmid"	"S27_LN:i:53076_dp:f:0.634334240299881"	53076
0.995032963521859	0.00496703647814067	"Chromosome"	"S28_LN:i:52633_dp:f:0.970504537037621"	52633
0.98654269125025	0.0134573087497498	"Chromosome"	"S29_LN:i:43216_dp:f:0.971592584453621"	43216
0.961028667555409	0.0389713324445911	"Chromosome"	"S30_LN:i:41308_dp:f:0.9783909332247142"	41308
0.918923181276485	0.0810768187235155	"Chromosome"	"S31_LN:i:32992_dp:f:1.0276750666573256"	32992
0.744601207020026	0.255398792979974	"Chromosome"	"S32_LN:i:32422_dp:f:0.9762849512333632"	32422
0.985165682532249	0.0148343174677512	"Chromosome"	"S33_LN:i:30289_dp:f:1.033725545128161"	30289
0.94206435975779	0.05793564024221	"Chromosome"	"S34_LN:i:30171_dp:f:1.0049481191994922"	30171
0.201198477078716	0.798801522921284	"Plasmid"	"S35_LN:i:27134_dp:f:0.6209094874332501"	27134
0.860288620369451	0.139711379630549	"Chromosome"	"S36_LN:i:25639_dp:f:0.9458350225856037"	25639
0.978596388613795	0.0214036113862047	"Chromosome"	"S37_LN:i:21524_dp:f:0.9563235658233583"	21524
