number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
83 S83_LN:i:2639_dp:f:17.2100074507683 0.9 0.1 Repeat 2639 17.21 3
26 S26_LN:i:51101_dp:f:0.8834328336344125 0.12 0.88 Plasmid 51101 0.88 1
40 S40_LN:i:17552_dp:f:0.8707730667683432 0.44 0.56 Plasmid 17552 0.87 1
41 S41_LN:i:17235_dp:f:0.8454996600436662 0.22 0.78 Plasmid 17235 0.85 1
42 S42_LN:i:15522_dp:f:0.8553561628653606 0.3 0.7 Plasmid 15522 0.86 1
54 S54_LN:i:8097_dp:f:0.8424426974582523 0.35 0.65 Plasmid 8097 0.84 1
56 S56_LN:i:6712_dp:f:4.389676665089225 0.03 0.97 Plasmid 6712 4.39 2
59 S59_LN:i:6320_dp:f:0.9513569488038697 0.44 0.56 Plasmid 6320 0.95 1
61 S61_LN:i:5873_dp:f:0.8334353509102838 0.44 0.56 Plasmid 5873 0.83 1
64 S64_LN:i:5469_dp:f:14.790268506615716 0 1 Plasmid 5469 14.79 3
71 S71_LN:i:4417_dp:f:9.740493397928507 0.14 0.86 Plasmid 4417 9.74 4
79 S79_LN:i:2839_dp:f:23.69119933201556 0.12 0.88 Plasmid 2839 23.69 5
80 S80_LN:i:2735_dp:f:0.8184671369889738 0.03 0.97 Plasmid 2735 0.82 1
85 S85_LN:i:2113_dp:f:23.659590468165984 0.44 0.56 Plasmid 2113 23.66 6
89 S89_LN:i:1552_dp:f:4.868621770292308 0 1 Plasmid 1552 4.87 7
91 S91_LN:i:1506_dp:f:5.360335669833644 0.24 0.76 Plasmid 1506 5.36 8
