number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
25 S25_LN:i:50339_dp:f:1.8487793767217757 0.18 0.82 Repeat 50339 1.85 1
50 S50_LN:i:4873_dp:f:1.1453291344844714 0.49 0.51 Repeat 4873 1.15 1
54 S54_LN:i:2669_dp:f:4.091239034735828 0.05 0.95 Repeat 2669 4.09 1
64 S64_LN:i:1380_dp:f:1.96285732557502 0.31 0.69 Repeat 1380 1.96 1
65 S65_LN:i:1244_dp:f:0.9458618082812531 0.73 0.27 Repeat 1244 0.95 1
33 S33_LN:i:33662_dp:f:2.092279469020952 0.26 0.74 Plasmid 33662 2.09 1
40 S40_LN:i:9888_dp:f:1.8028784693320168 0.06 0.94 Plasmid 9888 1.8 1
41 S41_LN:i:9679_dp:f:2.2584350020499944 0.03 0.97 Plasmid 9679 2.26 1
47 S47_LN:i:5828_dp:f:2.0305770847097118 0.09 0.91 Plasmid 5828 2.03 1
51 S51_LN:i:4493_dp:f:2.229637391640572 0.17 0.83 Plasmid 4493 2.23 1
53 S53_LN:i:2863_dp:f:1.9991565325017278 0.05 0.95 Plasmid 2863 2 1
66 S66_LN:i:1160_dp:f:2.5020979651760578 0.31 0.69 Plasmid 1160 2.5 1
68 S68_LN:i:1151_dp:f:2.1688457724612116 0.2 0.8 Plasmid 1151 2.17 1
