number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
54 S54_LN:i:2669_dp:f:3.596240467791554 0.1 0.9 Repeat 2669 3.6 1
63 S63_LN:i:1380_dp:f:1.55440359496641 0.31 0.69 Repeat 1380 1.55 1
25 S25_LN:i:50311_dp:f:1.5277371926853964 0.2 0.8 Plasmid 50311 1.53 1
32 S32_LN:i:33662_dp:f:1.917585630324403 0.36 0.64 Plasmid 33662 1.92 1
40 S40_LN:i:9303_dp:f:2.0653394758365353 0.06 0.94 Plasmid 9303 2.07 1
46 S46_LN:i:5828_dp:f:1.900225202935363 0.09 0.91 Plasmid 5828 1.9 1
47 S47_LN:i:5687_dp:f:1.5279270814255645 0.11 0.89 Plasmid 5687 1.53 1
50 S50_LN:i:4493_dp:f:2.0637347411671962 0.17 0.83 Plasmid 4493 2.06 1
52 S52_LN:i:3722_dp:f:1.5107405726358931 0.19 0.81 Plasmid 3722 1.51 1
53 S53_LN:i:2864_dp:f:1.8805756617801241 0.05 0.95 Plasmid 2864 1.88 1
55 S55_LN:i:2327_dp:f:1.9268266140056112 0.02 0.98 Plasmid 2327 1.93 1
66 S66_LN:i:1150_dp:f:1.9444776230328416 0.2 0.8 Plasmid 1150 1.94 1
