number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
105 S105_LN:i:1343_dp:f:7.9400491198503795 0.89 0.11 Repeat 1343 7.94 1
118 S118_LN:i:1064_dp:f:3.9579244294184743 1 0 Repeat 1064 3.96 1
88 S88_LN:i:2351_dp:f:3.030453279623483 0.84 0.16 Repeat 2351 3.03 1
95 S95_LN:i:1659_dp:f:4.4082753588934676 0.03 0.97 Repeat 1659 4.41 1
104 S104_LN:i:1394_dp:f:1.4063948290567552 0.42 0.58 Plasmid 1394 1.41 1
35 S35_LN:i:40507_dp:f:1.4520875936411375 0.18 0.82 Plasmid 40507 1.45 1
49 S49_LN:i:24594_dp:f:1.4356432336892297 0.14 0.86 Plasmid 24594 1.44 1
53 S53_LN:i:15983_dp:f:1.4449782784546823 0.5 0.5 Plasmid 15983 1.44 1
58 S58_LN:i:11595_dp:f:0.9304970225860298 0.44 0.56 Plasmid 11595 0.93 2
61 S61_LN:i:9752_dp:f:0.8747675028002426 0.42 0.58 Plasmid 9752 0.87 2
80 S80_LN:i:3467_dp:f:0.9634748576606353 0.43 0.57 Plasmid 3467 0.96 2
83 S83_LN:i:3100_dp:f:1.4869724497240862 0.01 0.99 Plasmid 3100 1.49 1
93 S93_LN:i:1719_dp:f:1.5254796378695552 0.02 0.98 Plasmid 1719 1.53 1
98 S98_LN:i:1565_dp:f:16.239351371348125 0.07 0.93 Plasmid 1565 16.24 3
