number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
111 S111_LN:i:1341_dp:f:6.243682813116038 0.99 0.01 Repeat 1341 6.24 1
116 S116_LN:i:1165_dp:f:5.031665200812791 0.9 0.1 Repeat 1165 5.03 1
104 S104_LN:i:1719_dp:f:1.732710965781732 0.29 0.71 Plasmid 1719 1.73 1
35 S35_LN:i:42509_dp:f:1.5372993181711658 0.34 0.66 Plasmid 42509 1.54 1
59 S59_LN:i:15113_dp:f:1.5426453194228855 0.24 0.76 Plasmid 15113 1.54 1
63 S63_LN:i:10303_dp:f:1.5153721660541326 0.1 0.9 Plasmid 10303 1.52 1
75 S75_LN:i:5569_dp:f:4.923008207862674 0.07 0.93 Plasmid 5569 4.92 2
76 S76_LN:i:5428_dp:f:1.634081516179994 0.1 0.9 Plasmid 5428 1.63 1
78 S78_LN:i:5328_dp:f:1.509800083264176 0.02 0.98 Plasmid 5328 1.51 1
79 S79_LN:i:5285_dp:f:0.9416654489510643 0.1 0.9 Plasmid 5285 0.94 1
87 S87_LN:i:3743_dp:f:0.8850623516339906 0.1 0.9 Plasmid 3743 0.89 1
98 S98_LN:i:2089_dp:f:8.4698415499268 0.3 0.7 Plasmid 2089 8.47 3
