number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
31 S31_LN:i:11028_dp:f:1.0028889931181717 0.99 0.01 Repeat 11028 1 1
42 S42_LN:i:2704_dp:f:8.218063383983374 1 0 Repeat 2704 8.22 1
43 S43_LN:i:2639_dp:f:9.46938759006623 0.89 0.11 Repeat 2639 9.47 1
44 S44_LN:i:2581_dp:f:4.117876579949701 0.88 0.12 Repeat 2581 4.12 1
23 S23_LN:i:64484_dp:f:1.8059917937988097 0.33 0.67 Plasmid 64484 1.81 1
27 S27_LN:i:38356_dp:f:1.8039083285486701 0.2 0.8 Plasmid 38356 1.8 1
30 S30_LN:i:11433_dp:f:1.7179238874647216 0.08 0.92 Plasmid 11433 1.72 1
35 S35_LN:i:5417_dp:f:1.761160008398482 0.1 0.9 Plasmid 5417 1.76 1
41 S41_LN:i:3137_dp:f:1.0065745315747339 0.44 0.56 Plasmid 3137 1.01 1
49 S49_LN:i:1552_dp:f:17.982496219442176 0 1 Plasmid 1552 17.98 2
53 S53_LN:i:1323_dp:f:0.9899158168835264 0.34 0.66 Plasmid 1323 0.99 1
