number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
104 S104_LN:i:2700_dp:f:2.9333822167698393 0.88 0.12 Repeat 2700 2.93 1
140 S140_LN:i:1056_dp:f:6.822694135397719 0.56 0.44 Repeat 1056 6.82 1
108 S108_LN:i:2473_dp:f:1.7745839032483983 0.3 0.7 Plasmid 2473 1.77 1
37 S37_LN:i:51080_dp:f:0.8606446033156132 0.48 0.52 Plasmid 51080 0.86 1
41 S41_LN:i:43065_dp:f:1.881951542937513 0.39 0.61 Plasmid 43065 1.88 1
45 S45_LN:i:36747_dp:f:0.8685732354070705 0.3 0.7 Plasmid 36747 0.87 1
67 S67_LN:i:12648_dp:f:1.9154880588105345 0.03 0.97 Plasmid 12648 1.92 1
83 S83_LN:i:5386_dp:f:2.0189564326372142 0.49 0.51 Plasmid 5386 2.02 2
85 S85_LN:i:5240_dp:f:2.003440641877124 0.27 0.73 Plasmid 5240 2 3
96 S96_LN:i:3743_dp:f:0.9463339772786028 0.1 0.9 Plasmid 3743 0.95 1
