number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
75 S75_LN:i:2699_dp:f:4.732249483258507 0.98 0.02 Repeat 2699 4.73 2
76 S76_LN:i:2581_dp:f:5.497539363200551 0.89 0.11 Repeat 2581 5.5 2
81 S81_LN:i:1786_dp:f:1.9355560076342635 0.85 0.15 Repeat 1786 1.94 2
20 S20_LN:i:90652_dp:f:0.46325816575793666 0.26 0.74 Plasmid 90652 0.46 1
35 S35_LN:i:41076_dp:f:0.9600962945324784 0.3 0.7 Plasmid 41076 0.96 2
37 S37_LN:i:33760_dp:f:0.9806208352033345 0.23 0.77 Plasmid 33760 0.98 2
38 S38_LN:i:32950_dp:f:1.1797173334741333 0.2 0.8 Plasmid 32950 1.18 3
44 S44_LN:i:19781_dp:f:1.0649937338785194 0.17 0.83 Plasmid 19781 1.06 2
48 S48_LN:i:15522_dp:f:0.9731869012437513 0.3 0.7 Plasmid 15522 0.97 2
51 S51_LN:i:10022_dp:f:0.9368465025413898 0.47 0.53 Plasmid 10022 0.94 2
56 S56_LN:i:7676_dp:f:0.9760117029718653 0.24 0.76 Plasmid 7676 0.98 2
69 S69_LN:i:3702_dp:f:0.8215234672849446 0.28 0.72 Plasmid 3702 0.82 2
82 S82_LN:i:1495_dp:f:0.9959694160116367 0.07 0.93 Plasmid 1495 1 2
89 S89_LN:i:1040_dp:f:0.9846196611790868 0.27 0.73 Plasmid 1040 0.98 2
