number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
57 S57_LN:i:2669_dp:f:3.5797517512491646 0.1 0.9 Repeat 2669 3.58 1
68 S68_LN:i:1380_dp:f:1.604136011239681 0.29 0.71 Repeat 1380 1.6 1
26 S26_LN:i:48719_dp:f:1.506563419952219 0.22 0.78 Plasmid 48719 1.51 1
33 S33_LN:i:33662_dp:f:1.9851420292518138 0.36 0.64 Plasmid 33662 1.99 1
38 S38_LN:i:19329_dp:f:1.5471647290133783 0.23 0.77 Plasmid 19329 1.55 1
42 S42_LN:i:9000_dp:f:2.0959094225516957 0.06 0.94 Plasmid 9000 2.1 1
48 S48_LN:i:5828_dp:f:1.983054012452254 0.11 0.89 Plasmid 5828 1.98 1
50 S50_LN:i:5609_dp:f:1.1382916126123903 0.42 0.58 Plasmid 5609 1.14 1
51 S51_LN:i:5558_dp:f:1.5128740850603635 0.1 0.9 Plasmid 5558 1.51 1
53 S53_LN:i:4494_dp:f:2.1293235852396903 0.46 0.54 Plasmid 4494 2.13 1
55 S55_LN:i:3722_dp:f:1.4816308990441875 0.01 0.99 Plasmid 3722 1.48 1
56 S56_LN:i:2864_dp:f:1.89608517845428 0.05 0.95 Plasmid 2864 1.9 1
63 S63_LN:i:1690_dp:f:1.0365483189361484 0.03 0.97 Plasmid 1690 1.04 1
69 S69_LN:i:1160_dp:f:2.298282204481246 0.31 0.69 Plasmid 1160 2.3 1
