number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
81 S81_LN:i:1954_dp:f:5.165154519593193 0.22 0.78 Repeat 1954 5.17 1
82 S82_LN:i:1791_dp:f:2.579451919234686 0.95 0.05 Repeat 1791 2.58 1
83 S83_LN:i:1689_dp:f:2.354702979908883 0.25 0.75 Repeat 1689 2.35 1
20 S20_LN:i:80577_dp:f:0.8932863165009939 0.2 0.8 Plasmid 80577 0.89 1
36 S36_LN:i:24528_dp:f:1.2435177674226396 0.13 0.87 Plasmid 24528 1.24 1
37 S37_LN:i:23531_dp:f:1.2314931612036883 0.12 0.88 Plasmid 23531 1.23 1
39 S39_LN:i:22864_dp:f:1.257506089996352 0.35 0.65 Plasmid 22864 1.26 1
45 S45_LN:i:17611_dp:f:1.27406167756256 0.18 0.82 Plasmid 17611 1.27 1
48 S48_LN:i:15522_dp:f:0.8990208101333687 0.3 0.7 Plasmid 15522 0.9 1
51 S51_LN:i:12238_dp:f:0.8608440549007721 0.26 0.74 Plasmid 12238 0.86 1
53 S53_LN:i:10777_dp:f:1.2194666267196834 0.42 0.58 Plasmid 10777 1.22 1
55 S55_LN:i:8648_dp:f:1.1267323612341578 0.08 0.92 Plasmid 8648 1.13 1
56 S56_LN:i:8348_dp:f:1.3218374246692715 0.4 0.6 Plasmid 8348 1.32 1
59 S59_LN:i:6647_dp:f:10.854326561135796 0.09 0.91 Plasmid 6647 10.85 2
65 S65_LN:i:5463_dp:f:16.161204940919163 0 1 Plasmid 5463 16.16 3
70 S70_LN:i:3651_dp:f:133.74229076875915 0.19 0.81 Plasmid 3651 133.74 4
72 S72_LN:i:3373_dp:f:15.610919526551616 0.41 0.59 Plasmid 3373 15.61 5
75 S75_LN:i:2710_dp:f:1.0129285130017924 0.15 0.85 Plasmid 2710 1.01 1
90 S90_LN:i:1238_dp:f:0.9792762988952955 0.4 0.6 Plasmid 1238 0.98 6
