number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
81 S81_LN:i:1636_dp:f:3.720979029572674 0.66 0.34 Repeat 1636 3.72 1
83 S83_LN:i:1353_dp:f:2.2565839836060673 0.02 0.98 Repeat 1353 2.26 1
85 S85_LN:i:1331_dp:f:4.18001934477246 1 0 Repeat 1331 4.18 1
86 S86_LN:i:1312_dp:f:3.174415847912093 0.98 0.02 Repeat 1312 3.17 1
88 S88_LN:i:1144_dp:f:1.9526265910467917 0.99 0.01 Repeat 1144 1.95 1
91 S91_LN:i:1111_dp:f:2.264343880782191 0.97 0.03 Repeat 1111 2.26 1
25 S25_LN:i:70662_dp:f:1.236070073904201 0.24 0.76 Plasmid 70662 1.24 1
33 S33_LN:i:32506_dp:f:1.2282053589218982 0.26 0.74 Plasmid 32506 1.23 1
42 S42_LN:i:20631_dp:f:1.1929792482745785 0.14 0.86 Plasmid 20631 1.19 1
53 S53_LN:i:11156_dp:f:0.9981447609530593 0.23 0.77 Plasmid 11156 1 1
55 S55_LN:i:10555_dp:f:1.2580154848750364 0.13 0.87 Plasmid 10555 1.26 1
57 S57_LN:i:9394_dp:f:0.9998333204065201 0.13 0.87 Plasmid 9394 1 1
63 S63_LN:i:6833_dp:f:1.1834097309490579 0.33 0.67 Plasmid 6833 1.18 1
65 S65_LN:i:5858_dp:f:1.0454970185717454 0.04 0.96 Plasmid 5858 1.05 1
66 S66_LN:i:5793_dp:f:1.2073287245888018 0.46 0.54 Plasmid 5793 1.21 1
67 S67_LN:i:5476_dp:f:0.9825725714255431 0.42 0.58 Plasmid 5476 0.98 1
87 S87_LN:i:1238_dp:f:1.0382346535827156 0.4 0.6 Plasmid 1238 1.04 2
