number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
114 S114_LN:i:1341_dp:f:6.102638964123186 0.89 0.11 Repeat 1341 6.1 2
119 S119_LN:i:1165_dp:f:4.972196464039026 0.99 0.01 Repeat 1165 4.97 2
100 S100_LN:i:2089_dp:f:8.655881893884446 0.3 0.7 Plasmid 2089 8.66 1
106 S106_LN:i:1719_dp:f:1.6599093515976706 0.29 0.71 Plasmid 1719 1.66 2
36 S36_LN:i:42509_dp:f:1.5361813212876847 0.34 0.66 Plasmid 42509 1.54 2
61 S61_LN:i:15113_dp:f:1.519765452614634 0.06 0.94 Plasmid 15113 1.52 2
65 S65_LN:i:10303_dp:f:1.495765966758172 0.1 0.9 Plasmid 10303 1.5 2
77 S77_LN:i:5569_dp:f:4.577254657130529 0.07 0.93 Plasmid 5569 4.58 3
78 S78_LN:i:5428_dp:f:1.6402586631655942 0.1 0.9 Plasmid 5428 1.64 2
80 S80_LN:i:5328_dp:f:1.5474159696655312 0.02 0.98 Plasmid 5328 1.55 2
81 S81_LN:i:5285_dp:f:0.9118641681739029 0.1 0.9 Plasmid 5285 0.91 2
89 S89_LN:i:3743_dp:f:0.9074204990252696 0.01 0.99 Plasmid 3743 0.91 2
92 S92_LN:i:3155_dp:f:1.5601593844967363 0.09 0.91 Plasmid 3155 1.56 2
104 S104_LN:i:1949_dp:f:0.9994583130583278 0.26 0.74 Plasmid 1949 1 Unbinned
