number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
84 S84_LN:i:2639_dp:f:2.687660873650763 0.9 0.1 Repeat 2639 2.69 2
101 S101_LN:i:1552_dp:f:2.1836187802688305 0 1 Plasmid 1552 2.18 1
106 S106_LN:i:1321_dp:f:0.9287426619971173 0.44 0.56 Plasmid 1321 0.93 2
26 S26_LN:i:52232_dp:f:0.6031704317070866 0.11 0.89 Plasmid 52232 0.6 2
49 S49_LN:i:15520_dp:f:0.5991231289337763 0.31 0.69 Plasmid 15520 0.6 2
58 S58_LN:i:9802_dp:f:0.4669508119660819 0.03 0.97 Plasmid 9802 0.47 2
61 S61_LN:i:6647_dp:f:4.378821840475493 0.09 0.91 Plasmid 6647 4.38 3
65 S65_LN:i:6095_dp:f:0.43124460749932 0.24 0.76 Plasmid 6095 0.43 2
66 S66_LN:i:5873_dp:f:0.49660225148397125 0.12 0.88 Plasmid 5873 0.5 2
68 S68_LN:i:5386_dp:f:4.121017647821774 0.5 0.5 Plasmid 5386 4.12 4
80 S80_LN:i:2735_dp:f:0.5512858089544782 0.03 0.97 Plasmid 2735 0.55 2
89 S89_LN:i:2328_dp:f:13.946493749322931 0.11 0.89 Plasmid 2328 13.95 5
94 S94_LN:i:1932_dp:f:0.4072450014542048 0.09 0.91 Plasmid 1932 0.41 2
