number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
53 S53_LN:i:2360_dp:f:9.987294088702612 0.86 0.14 Repeat 2360 9.99 1
58 S58_LN:i:1331_dp:f:6.282589149518419 0.86 0.14 Repeat 1331 6.28 1
25 S25_LN:i:39749_dp:f:1.1605968295431017 0.19 0.81 Plasmid 39749 1.16 1
31 S31_LN:i:26872_dp:f:1.1410187726155046 0.41 0.59 Plasmid 26872 1.14 1
34 S34_LN:i:17166_dp:f:1.1057405104014746 0.38 0.62 Plasmid 17166 1.11 1
36 S36_LN:i:14032_dp:f:1.1084050376276267 0.05 0.95 Plasmid 14032 1.11 1
38 S38_LN:i:12257_dp:f:1.102925456225414 0.28 0.72 Plasmid 12257 1.1 1
40 S40_LN:i:8679_dp:f:1.1370707693552786 0.2 0.8 Plasmid 8679 1.14 1
44 S44_LN:i:4968_dp:f:1.0971548025847242 0.41 0.59 Plasmid 4968 1.1 1
47 S47_LN:i:3802_dp:f:1.0955548820255756 0.34 0.66 Plasmid 3802 1.1 1
49 S49_LN:i:3167_dp:f:1.0290028751768872 0.46 0.54 Plasmid 3167 1.03 1
56 S56_LN:i:1365_dp:f:1.1638745075203691 0.01 0.99 Plasmid 1365 1.16 1
