number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
46 S46_LN:i:2360_dp:f:9.692917846192655 0.86 0.14 Repeat 2360 9.69 1
50 S50_LN:i:1331_dp:f:6.549020929376202 0.99 0.01 Repeat 1331 6.55 1
24 S24_LN:i:39749_dp:f:0.9081585857998434 0.19 0.81 Plasmid 39749 0.91 1
30 S30_LN:i:23544_dp:f:0.906029222595958 0.37 0.63 Plasmid 23544 0.91 1
31 S31_LN:i:22465_dp:f:0.8426036093000017 0.21 0.79 Plasmid 22465 0.84 1
33 S33_LN:i:14031_dp:f:0.8705922025192528 0.32 0.68 Plasmid 14031 0.87 1
35 S35_LN:i:12257_dp:f:0.8585069257835045 0.28 0.72 Plasmid 12257 0.86 1
41 S41_LN:i:3802_dp:f:0.8534624534401929 0.34 0.66 Plasmid 3802 0.85 1
43 S43_LN:i:3167_dp:f:0.7870596953130163 0.46 0.54 Plasmid 3167 0.79 1
48 S48_LN:i:1365_dp:f:0.8775872630524851 0.01 0.99 Plasmid 1365 0.88 1
