number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
31 S31_LN:i:52748_dp:f:1.083402014117115 0.18 0.82 Plasmid 52748 1.08 1
38 S38_LN:i:38077_dp:f:1.0594603187145801 0.44 0.56 Plasmid 38077 1.06 1
48 S48_LN:i:22676_dp:f:1.0152606749170694 0.17 0.83 Plasmid 22676 1.02 2
50 S50_LN:i:18705_dp:f:0.9045932892551846 0.19 0.81 Plasmid 18705 0.9 2
55 S55_LN:i:15520_dp:f:1.0577813992493947 0.3 0.7 Plasmid 15520 1.06 1
72 S72_LN:i:5413_dp:f:0.8990714260605536 0.2 0.8 Plasmid 5413 0.9 2
73 S73_LN:i:5386_dp:f:4.132612236183892 0.49 0.51 Plasmid 5386 4.13 3
78 S78_LN:i:3389_dp:f:0.8410171305338429 0.11 0.89 Plasmid 3389 0.84 2
82 S82_LN:i:2734_dp:f:1.0318410975651435 0.03 0.97 Plasmid 2734 1.03 1
84 S84_LN:i:2005_dp:f:1.00663566038123 0.41 0.59 Plasmid 2005 1.01 1
90 S90_LN:i:1297_dp:f:0.8827466395332685 0 1 Plasmid 1297 0.88 2
