number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
100 S100_LN:i:1095_dp:f:3.8045156926234256 0.99 0.01 Repeat 1095 3.8 2
27 S27_LN:i:75225_dp:f:0.8250917605696613 0.29 0.71 Plasmid 75225 0.83 1
30 S30_LN:i:65549_dp:f:2.007743679510173 0.28 0.72 Plasmid 65549 2.01 2
52 S52_LN:i:14937_dp:f:2.1097179537822823 0.41 0.59 Plasmid 14937 2.11 2
53 S53_LN:i:13948_dp:f:0.7686587987517751 0.04 0.96 Plasmid 13948 0.77 1
57 S57_LN:i:9467_dp:f:2.3183038276421755 0.23 0.77 Plasmid 9467 2.32 2
64 S64_LN:i:5285_dp:f:0.9333700190626587 0.11 0.89 Plasmid 5285 0.93 1
83 S83_LN:i:2362_dp:f:0.7545482349919965 0.44 0.56 Plasmid 2362 0.75 1
95 S95_LN:i:1325_dp:f:1.2052623007787953 0.01 0.99 Plasmid 1325 1.21 1
98 S98_LN:i:1232_dp:f:1.2696353106318001 0.06 0.94 Plasmid 1232 1.27 1
