number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
63 S63_LN:i:2577_dp:f:11.963983977053056 0.98 0.02 Repeat 2577 11.96 1
69 S69_LN:i:1323_dp:f:1.942639364520687 0.99 0.01 Repeat 1323 1.94 1
72 S72_LN:i:1073_dp:f:1.88565341752792 1 0 Repeat 1073 1.89 1
26 S26_LN:i:42005_dp:f:1.1292832850224455 0.27 0.73 Plasmid 42005 1.13 1
34 S34_LN:i:23184_dp:f:1.0483661451089652 0.32 0.68 Plasmid 23184 1.05 1
35 S35_LN:i:21941_dp:f:1.1729756225075063 0.33 0.67 Plasmid 21941 1.17 1
37 S37_LN:i:19515_dp:f:1.0293260350827977 0.07 0.93 Plasmid 19515 1.03 1
38 S38_LN:i:19191_dp:f:1.101086283884553 0.07 0.93 Plasmid 19191 1.1 1
45 S45_LN:i:11671_dp:f:1.0641212894260756 0.34 0.66 Plasmid 11671 1.06 1
46 S46_LN:i:8935_dp:f:1.2140455617806294 0.26 0.74 Plasmid 8935 1.21 1
53 S53_LN:i:4500_dp:f:1.0323666103952527 0.26 0.74 Plasmid 4500 1.03 1
67 S67_LN:i:1552_dp:f:91.20515930718997 0 1 Plasmid 1552 91.21 2
73 S73_LN:i:1050_dp:f:1.218770276435768 0.4 0.6 Plasmid 1050 1.22 1
