number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
63 S63_LN:i:1420_dp:f:2.080455130406536 0.34 0.66 Repeat 1420 2.08 1
25 S25_LN:i:55112_dp:f:1.4813386216184545 0.3 0.7 Plasmid 55112 1.48 1
33 S33_LN:i:26679_dp:f:1.4535210578880584 0.44 0.56 Plasmid 26679 1.45 1
37 S37_LN:i:16695_dp:f:1.334880083463115 0.17 0.83 Plasmid 16695 1.33 1
39 S39_LN:i:12253_dp:f:1.481600887348884 0.32 0.68 Plasmid 12253 1.48 1
42 S42_LN:i:11416_dp:f:1.5218308716730373 0.01 0.99 Plasmid 11416 1.52 1
45 S45_LN:i:8413_dp:f:1.0247701574989088 0.39 0.61 Plasmid 8413 1.02 1
48 S48_LN:i:5463_dp:f:13.461436733010917 0.4 0.6 Plasmid 5463 13.46 2
50 S50_LN:i:5050_dp:f:1.3121844039178874 0.34 0.66 Plasmid 5050 1.31 1
54 S54_LN:i:2734_dp:f:1.4321305235438524 0.03 0.97 Plasmid 2734 1.43 1
47 S47_LN:i:5845_dp:f:0.8775741514664809 0.34 0.66 Plasmid 5845 0.88 Unbinned
